hashtag,index,abstract,raw_labels,abstract_df_idx,emoji_s,count
韩国累计确诊升至7513例,13233,导语：据人民日报记者马菲，韩国中央防疫对策本部10日通报，截至10日零时，韩国较9日零时新增新冠肺炎确诊病例131例，累计确诊病例7513例，共出现54例死亡病例。,"[12, 9, 4]",6120,"(12, 9, 4, 13, 5, 14, 18, 10, 16, 8, 2, 22, 21, 3, 0, 6, 17)","(213, 77, 43, 43, 30, 30, 26, 15, 12, 9, 7, 7, 6, 4, 2, 1, 1)"
庆祝澳门回归祖国20周年文艺晚会,5555,导语：庆祝澳门回归祖国20周年文艺晚会今晚将在澳门东亚运动会体育馆里举行，晚会主题是濠江情中国心。,"[0, 5, 14]",6121,"(0, 5, 14, 10, 17, 4, 3, 15, 19, 16, 13, 18, 8, 7, 2, 23)","(1975, 55, 34, 21, 19, 18, 15, 11, 9, 8, 5, 3, 2, 2, 2, 1)"
澳总理承认应对山火存在失误,9255,导语：据央视，澳大利亚总理斯科特·莫里森（Scott Morrison）承认在应对山火危机中存在失误,"[6, 4, 12]",6122,"(6, 4, 12, 1, 10, 11, 3, 16, 7, 0, 2, 9, 5, 15, 19, 20, 18, 22, 8, 13, 23, 14, 21, 17)","(3476, 220, 96, 56, 49, 29, 29, 25, 20, 20, 19, 15, 14, 10, 10, 10, 9, 9, 7, 6, 6, 6, 5, 3)"
无锡密切接触者拒不配合被强制隔离,6964,导语：1月25日，无锡市对一名拒不配合进行医学观察的密切接触者实施强制隔离措施。,"[6, 5, 1]",6123,"(6, 5, 1, 11, 7, 13, 23, 12, 19, 8, 15, 10, 22, 2, 21, 18, 14, 17, 20, 16, 3, 0, 9)","(3608, 313, 98, 27, 22, 20, 20, 18, 17, 14, 14, 12, 11, 9, 9, 8, 8, 8, 8, 7, 5, 5, 4)"
首批赴黎维和女扫雷手,13331,导语：在黎巴嫩执行维和任务的19名女兵中，有3名女扫雷作业手是我军首次派出。半年来，刻苦训练的她们表现出色，7斤重的探雷器，1分钟就能组装好。“一想到排雷后，百姓们可以安全放羊、种庄稼，就觉得很自豪！,"[5, 0, 14]",6124,"(5, 0, 14, 6, 23, 4, 13, 20, 15, 10, 17, 7, 21, 22, 9, 2, 16)","(183, 56, 29, 12, 9, 7, 7, 6, 5, 5, 3, 2, 2, 2, 1, 1, 1)"
澳大利亚野火可能失控,9249,导语：澳大利亚消防人员1月4日面临危险一天，新南韦尔斯省和维多利亚省气温预计飙破40摄氏度，加上强风风向改变，将助长和扩散火焰，恐让野火失去控制。,"[10, 4, 6]",6125,"(10, 4, 6, 12, 1, 19, 8, 16, 2, 11, 0, 22, 3, 5, 18, 7, 17, 13, 20, 15, 23)","(2659, 593, 173, 125, 44, 35, 24, 21, 15, 12, 11, 10, 9, 9, 7, 7, 7, 6, 3, 2, 2)"
9例重症患者血浆抗体治疗效果显著,438,导语：2月8日新冠肺炎康复者血浆抗体治疗开始进行，首批共有9例重症患者接受这项治疗。,"[0, 5, 13]",6126,"(0, 5, 13, 7, 4, 6, 14, 15, 2, 21, 16, 3, 17, 19, 20, 22, 10, 23, 9, 1)","(2524, 564, 94, 62, 52, 43, 38, 17, 15, 13, 10, 9, 8, 7, 7, 6, 6, 6, 3, 1)"
黄冈全面排查发现发热病人13000人,13593,导语：湖北省人大常委会副主任、黄冈市委书记刘雪荣介绍，扎实开展全面排查，实施四个一批发热人员排查，其中，村社区排查1748.6万人次，公共场所排查4.5万人次，卡口排查103.4万人次，企事业单位排查190.7万人次，排查发现发热病人13000人。,"[4, 15, 12]",6127,"(4, 15, 12, 0, 1, 6, 5, 16, 14, 7, 21, 11, 13, 3, 2, 9, 8, 22, 19, 10, 23, 20, 18, 17)","(1178, 299, 159, 137, 104, 97, 81, 41, 30, 27, 27, 22, 22, 20, 20, 18, 16, 15, 14, 14, 13, 13, 10, 2)"
浙江新增63例确诊病例,8819,导语：2020年2月2日0-24时，浙江省报告新型冠状病毒感染的肺炎新增确诊病例63例，新增出院病例13例。,"[12, 4, 5]",6128,"(12, 4, 5, 7, 0, 11, 18, 8, 9, 19, 6, 16)","(1030, 153, 29, 14, 12, 1, 1, 1, 1, 1, 1, 1)"
任嘉伦军装,1816,导语：康康我们国超哥哥的军装造型吧， 期待军装哥哥亮相！,"[7, 0, 6]",6129,"(7, 0, 6, 10, 2, 3, 17, 4, 1, 8, 18, 22, 13, 16, 9, 12, 5, 14, 11, 15, 19, 23, 20)","(5879, 445, 226, 73, 65, 64, 46, 32, 29, 20, 15, 11, 7, 6, 5, 5, 4, 4, 3, 3, 3, 2, 2)"
意大利新增治愈首次超过新增确诊,6310,导语：意大利民事保护部门23日发布的数据显示，意大利当天新增新冠治愈病例3033例，新增确诊病例2646例。这是意大利疫情暴发以来新增治愈病例数首次超过新增确诊病例数，显示疫情进一步好转。,"[5, 0, 6]",6130,"(5, 0, 6, 13, 9, 4, 14, 7, 8, 11, 22, 15, 20, 19, 17, 10, 2, 16)","(2355, 165, 36, 36, 35, 30, 29, 13, 10, 9, 7, 6, 6, 5, 5, 3, 2, 1)"
周杰伦送医护粉丝演唱会门票,3589,导语：致敬白衣天使公益云演唱会上，周董说要送医护粉丝演唱会门票！！ ​​,"[0, 20, 4]",6131,"(0, 20, 4, 5, 1, 7, 10, 14, 3, 8, 9, 23)","(809, 86, 61, 38, 12, 11, 11, 8, 2, 1, 1, 1)"
入室盗窃躲床底下结果睡着了,2229,导语：广东佛山一名盗贼入室盗窃却遇到屋主回家，躲进床底躲避没想到睡着了，直到睡梦中的一个翻身惊动了屋主。,"[3, 2, 8]",6132,"(3, 2, 8, 1, 5, 11, 13, 10, 15, 6, 17)","(1804, 484, 272, 108, 34, 11, 11, 7, 6, 5, 1)"
马布里帮纽约采购口罩,13393,导语：北控主教练马布里将帮助家乡纽约采购1000万只口罩以帮助他们应对疫情。希望疫情早日结束，所有人能尽快回归正常生活！,"[5, 6, 11]",6133,"(5, 6, 11, 1, 2, 0, 10, 23, 14, 20, 3, 9, 22, 18, 15)","(360, 182, 46, 22, 18, 14, 9, 8, 7, 5, 4, 2, 2, 1, 1)"
陕西2例境外输入病例详情,12970,导语：昨日新增2例境外输入，均在陕西。2例境外输入病例均为莫斯科至北京CA910航班人员，该航班累计确诊22人、无症状感染者5人。,"[6, 1, 0]",6134,"(6, 1, 0, 8, 21, 5, 13, 16, 4, 10, 12)","(52, 24, 12, 7, 7, 4, 4, 4, 3, 2, 1)"
马路边的奢侈团聚,13410,导语：湖北十堰郧西护士江世娥在抗疫一线奋战，已经25天没回家了。19日，她送急诊病人时路过自家楼下，老公闻讯穿着睡衣抱着孩子跑下楼，送来了婆婆煮的饺子。为避免传染家人，老公和孩子只能远远的看着她吃，她也不能抱抱9个月大的孩子……,"[4, 0, 16]",6135,"(4, 0, 16, 6, 14, 9, 20, 2, 22, 19, 10)","(504, 92, 7, 5, 5, 4, 4, 3, 1, 1, 1)"
错峰起床,12736,导语：哈哈哈哈哈哈，是不是别人睡觉时你刚起床，别人起床时你刚睡觉？,"[3, 2, 8]",6136,"(3, 2, 8, 16, 14, 7, 0, 13, 11, 9, 19, 4, 5, 21, 10, 23, 20, 18, 22, 1)","(264, 123, 24, 16, 11, 10, 10, 8, 7, 6, 6, 5, 3, 2, 2, 2, 2, 1, 1, 1)"
世卫组织称中国防控经验要与世界分享,1147,导语：当地时间3日召开的世卫组织新闻发布会上，世卫组织官员称：“中国防控疫情的经验需要与世界分享，中国医疗专家组前往伊朗是一个极好的例子。”,"[3, 1, 2]",6137,"(3, 1, 2, 6, 5, 9, 16, 21, 13, 11, 18, 23, 8, 0, 10, 14, 7, 4, 17, 19, 12)","(851, 531, 216, 146, 70, 51, 28, 22, 17, 13, 11, 9, 8, 8, 8, 7, 6, 5, 5, 2, 1)"
为什么俄罗斯政府全体辞职,1501,导语：俄罗斯总统普京15日发表年度总统国情咨文的余音未消，俄总理梅德韦杰夫随即表示，俄政府全体请辞。消息一出，所有人都感到很突然，唯独普京依然淡定，他批准了俄政府的辞职申请并表示，打算增设俄联邦安全会议副主席一职，并提议梅德韦杰夫出任此职。原因究竟是什么？,"[8, 2, 1]",6138,"(8, 2, 1, 9, 19, 23, 14, 3, 17, 21, 22, 5, 0, 16, 10)","(47, 34, 22, 6, 6, 6, 6, 4, 4, 3, 3, 2, 2, 2, 1)"
专家福尔摩斯式破解聚集性疫情,1117,导语：天津动车客车段、宝坻百货大楼聚集性疫情一直备受关注。天津市疾病预防控制中心张颖曾破解宝坻百货大楼病例“传播迷局”，今日又对两起典型聚集性疫情的病例传播关系进行了详细分析解读，给我们几点警醒。视频较长，建议先码,"[5, 0, 11]",6139,"(5, 0, 11, 16, 14, 6, 1, 12, 10, 13, 23, 3, 21, 4, 18, 8, 9, 19, 17, 2, 20)","(585, 60, 25, 19, 17, 12, 11, 10, 8, 8, 8, 7, 7, 5, 4, 4, 4, 3, 3, 2, 1)"
意大利新冠肺炎确诊病例超20万,6298,导语：截至当地时间28日18时，意大利累计感染新冠病毒患者数201505例，累计死亡27359例，累计治愈68941例。,"[10, 4, 13]",6140,"(10, 4, 13, 15, 16, 9, 2, 0, 18, 11, 5, 6, 12, 23, 14, 7, 19, 8, 17)","(747, 86, 75, 53, 45, 26, 22, 22, 14, 13, 10, 9, 9, 8, 8, 7, 6, 5, 5)"
上海23万家政人员返岗,972,导语：最近在上海，已有23万名家政人员返岗，而在返岗前，他们要过3道关： 进小区前，和业主到居委会进行登记，出示随申码，扫码查看行动轨迹；到小区门口，再次出示随申码和行动轨迹，并且在门卫处登记信息、测量体温，才能进入小区；进到小区后，和业主去物业签署承诺书。,"[5, 0, 15]",6141,"(5, 0, 15, 1, 3, 7, 21, 14, 20, 6, 4, 17, 11, 13, 8, 2, 16)","(107, 75, 65, 10, 9, 7, 7, 7, 7, 6, 4, 3, 2, 2, 1, 1, 1)"
跟死神抢人的人,12108,"导语：""我已经死过一回了，你们又挽救了我第二次生命”...只要有1%的希望，就尽100%的努力。这是发生在武汉的#和死神抢人的惊险画面#↓↓每一次转危为安都值得铭记。辛苦了，致敬！","[5, 0, 4]",6142,"(5, 0, 4, 14, 11, 17, 20, 8, 16)","(2333, 259, 206, 48, 18, 15, 4, 1, 1)"
野外产仔大熊猫成功回捕,12568,导语：12月12日，经过数小时的诱捕，中国大熊猫保护研究中心在卧龙天台山野外，成功收回野外引种大熊猫“乔乔”及其幼仔。随后，熊猫中心兽医团队对“乔乔”和她的宝宝进行了体检。冬季雨雪冰冻天气下，野外环境复杂多变，考虑到母幼安全，按照计划，将母兽和幼仔一起从野外收回。,"[0, 17, 8]",6143,"(0, 17, 8, 3, 4, 5, 20, 11, 7, 2, 18, 1, 13, 14)","(174, 33, 17, 17, 15, 9, 8, 3, 3, 3, 1, 1, 1, 1)"
N号房接班人年仅16岁,710,"导语：N号房""赵博士""接班人""太平洋""上个月被捕，年仅16岁。","[6, 1, 11]",6144,"(6, 1, 11, 10, 15, 19, 18, 7, 12, 9, 22, 21, 14, 16, 2, 0, 20, 4, 13, 5, 23, 3, 17, 8)","(6344, 266, 127, 106, 82, 37, 28, 18, 16, 13, 10, 8, 8, 7, 6, 6, 6, 5, 5, 4, 4, 3, 3, 1)"
截断式眼妆有多美,6487,导语：你觉得截断式眼妆有多美呢？。,"[1, 7, 3]",6145,"(1, 7, 3, 2, 8, 16, 14, 0, 20, 15, 23, 13, 19, 6, 22, 11, 4, 21, 18, 9, 5)","(260, 55, 28, 20, 15, 15, 14, 11, 11, 10, 9, 8, 7, 4, 3, 2, 2, 2, 1, 1, 1)"
美国医生称小医院边猜边治,10689,导语：4月14日，美国芝加哥社区小医院医生控诉医院现状。重症监护病房医生查希尔·萨鲁尔称，整个医院系统已不堪重负，他们因缺少检测设备，病人需要等两个星期才能得到新冠病毒检测结果，在此之前，医护人员只能靠猜测。,"[2, 1, 4]",6146,"(2, 1, 4, 10, 0, 11, 13, 3, 20, 18, 14, 19, 5, 9, 6, 23)","(410, 94, 47, 18, 13, 11, 10, 8, 8, 5, 5, 3, 3, 1, 1, 1)"
全国21省份应急响应降为三级,2240,导语：截至目前，全国已无一级响应级别省份，二级响应级别省份8个，三级响应级别省份21个，四级响应级别省份2个。,"[5, 0, 1]",6147,"(5, 0, 1, 6, 18, 2, 8, 14, 19, 23, 4, 22, 20, 21, 13, 17)","(147, 18, 17, 14, 11, 7, 6, 6, 5, 5, 4, 2, 2, 1, 1, 1)"
五一到中高风险地区旅游返黔需自费检测,1656,导语：贵州省内人员跨省前往中、高风险地区旅游，返黔后需自费进行一次核酸检测，检测结果显示阴性，持健康绿码的，可正常通行。,"[5, 13, 6]",6148,"(5, 13, 6, 3, 1, 2, 10, 7, 18, 8, 19, 0, 23, 14, 11, 9, 4, 22)","(736, 41, 25, 21, 21, 19, 9, 8, 7, 6, 5, 5, 4, 3, 1, 1, 1, 1)"
朱婷扣球打到丁霞,7437,导语：朱婷和丁霞比赛中有趣一幕：朱婷扣球，球从丁霞的头上略过。丁霞嘟嘴卖萌，朱婷双手合十以示歉意,"[8, 3, 1]",6149,"(8, 3, 1, 16, 9, 7, 13, 23, 20, 12, 2, 22, 0, 14, 17, 18, 5, 10)","(59, 12, 9, 9, 8, 7, 7, 6, 6, 5, 3, 3, 3, 3, 3, 2, 2, 1)"
武汉外卖骑手老计没活了,8109,导语：还记得武汉的老计吗？他在疫情期间坚守岗位，帮有需要的人采买生活用品。现在，随着疫情形势向好，老计“没单子”了。他说：“这样挺好，慢慢恢复正常了。”,"[5, 0, 3]",6150,"(5, 0, 3, 14, 4, 2, 8, 10, 13, 17, 20, 18, 22, 21, 12, 23, 1, 19, 6, 15, 11, 9, 16)","(2205, 373, 327, 70, 54, 35, 23, 22, 17, 15, 13, 11, 9, 8, 8, 8, 6, 4, 4, 2, 1, 1, 1)"
想见你加更花絮,6218,导语：《想见你》大结局之后加更花絮，还是从未曝光过的全新花絮，坐等2月22号！,"[7, 4, 0]",6151,"(7, 4, 0, 6, 1, 2, 5, 9, 14, 8, 18, 22, 16, 20)","(848, 377, 108, 15, 14, 13, 13, 10, 10, 7, 6, 2, 2, 1)"
乃万JONYJ组队,1543,导语：在迎新会的时候，乃万“你怎么来了”把导师Jony-J “怼”得不知如何回应。结果在合作舞台中，乃万还是选择自己最擅长的说唱舞台。,"[7, 1, 2]",6152,"(7, 1, 2, 8, 0, 4, 10, 6, 3, 17, 9, 14, 5, 13, 16, 19, 23, 20, 15, 11, 12, 22)","(4961, 287, 170, 58, 47, 42, 38, 28, 22, 20, 18, 18, 9, 9, 9, 8, 8, 8, 6, 2, 2, 1)"
当宁静遇到土味情话,5907,导语：宁静：整花里胡哨的干啥啊,"[3, 8, 13]",6153,"(3, 8, 13, 2, 10, 14, 0, 1, 4, 21, 19, 20, 9, 5, 18, 7, 22)","(74, 41, 16, 8, 8, 8, 7, 5, 4, 3, 3, 3, 2, 2, 1, 1, 1)"
2020日本小姐冠军,176,导语：1月20日，2020日本小姐冠军出炉，21岁的大三学生小田安珠夺得桂冠。她称战胜2525名候选人留到最后就像做梦一样，希望将来能够成为引领令和时代的女性。3岁就开始学习芭蕾的小田安珠，未来的理想是能成为一名女主播。,"[14, 1, 9]",6154,"(14, 1, 9, 0, 10, 7, 5, 8, 16, 3, 20, 2, 22, 12, 21, 19, 4, 13, 17, 15, 11, 18, 23)","(117, 67, 41, 20, 19, 18, 16, 14, 12, 10, 10, 9, 9, 8, 7, 7, 6, 4, 4, 3, 2, 2, 2)"
美国多地冰箱销量攀升,10709,导语：近期美国肉类加工厂接连关闭，居民为了尽可能地多囤肉，进一步促使冰箱成了抢手货。有店家表示，现在顾客买冰箱可能要等上一两个月。,"[9, 3, 2]",6155,"(9, 3, 2, 1, 22, 6, 18, 0, 4, 16, 8, 7, 19, 13, 23, 14)","(74, 29, 21, 12, 10, 10, 6, 6, 2, 2, 1, 1, 1, 1, 1, 1)"
中国银行发布原油宝业务情况说明,1429,导语：中国银行关于原油宝业务情况的说明：原油宝产品挂钩境外原油期货，类似期货交易的操作，按照协议约定，合约到期时会在合约到期处理日，依照客户事先指定的方式，进行移仓或到期轧差处理。,"[6, 5, 1]",6156,"(6, 5, 1, 9, 2, 10, 3, 23, 4, 11, 19, 8, 17, 12, 22, 16, 13)","(1336, 97, 65, 55, 19, 15, 12, 11, 10, 9, 9, 7, 6, 5, 3, 2, 1)"
古生物学家发现中生代新物种,3323,导语：4月30日国际学术期刊《自然》最新发表一篇研究论文称，古生物学家在马达加斯加发现来自中生代(2.52亿-6500万年前)冈瓦纳的哺乳动物最完整骨架化石，它代表了一个新物种，并将其命名为“疯狂野兽”。,"[5, 15, 3]",6157,"(5, 15, 3, 6, 18, 2, 8, 22, 16, 17, 7, 13, 19, 23, 11, 1, 0, 12, 10)","(101, 21, 19, 10, 8, 8, 7, 7, 5, 5, 3, 3, 2, 2, 1, 1, 1, 1, 1)"
拍过最有春意的照片,6611,导语：把你拍过最有春意的照片po出来，转赞评大于5即可入围，来看看谁拍的春天最有感觉。,"[0, 7, 2]",6158,"(0, 7, 2, 6, 22, 13, 17, 21, 16, 20, 8, 9, 14)","(753, 67, 48, 13, 8, 8, 8, 6, 6, 5, 1, 1, 1)"
金希澈避谈雪莉具荷拉的原因,12589,导语：金希澈表示避谈雪莉具荷拉的原因，是因为“我很讨厌人们根据自己的口味来编（雪莉、具荷拉）的故事，也害怕人们的猜测会制造出其他的谣言，所以只是想努力去掩盖。”,"[0, 4, 10]",6159,"(0, 4, 10, 5, 18, 13, 22, 1, 6, 17, 16, 20, 11, 21, 3, 2, 23, 14, 9, 15, 12, 8)","(745, 140, 38, 12, 11, 10, 9, 9, 9, 9, 8, 8, 7, 7, 6, 6, 6, 6, 4, 4, 4, 3)"
花木兰新角色海报,11201,导语：迪士尼《花木兰》全新角色海报发布，刘亦菲携甄子丹、巩俐、李连杰、李截、安佑森众星亮相~2020年3月27日全球巨献，敬请期待！,"[7, 1, 0]",6160,"(7, 1, 0, 5, 6, 9, 10, 4, 15, 3, 19, 11, 2, 16)","(4499, 200, 162, 112, 27, 22, 16, 9, 7, 5, 5, 3, 2, 2)"
柯洁,7899,导语：中国围棋职业九段棋手-柯洁,"[6, 5, 1]",6161,"(6, 5, 1, 2, 10, 9, 11, 19, 18, 3, 8, 15, 13, 0, 22, 7, 21, 17, 20, 4, 14, 16, 12, 23)","(10804, 1815, 551, 286, 258, 168, 106, 81, 55, 45, 41, 39, 34, 21, 12, 11, 10, 10, 10, 7, 7, 6, 5, 3)"
兰州120多家牛肉面馆复工,2408,导语：兰州市已有120多家牛肉面馆复工，在店内堂食的顾客单人单桌。,"[14, 6, 20]",6162,"(14, 6, 20, 7, 4, 1, 18, 3, 5, 2, 16, 8)","(296, 35, 34, 32, 27, 27, 13, 8, 4, 3, 3, 2)"
英国老父亲在家提供宴会级服务,11299,导语：没法带孩子出门吃大餐，英国父亲只好在家提供宴会级服务，硬是把2020年的牛奶喝出了82年拉菲的气势……,"[20, 3, 0]",6163,"(20, 3, 0, 14, 7, 5, 1, 8, 2, 17, 9, 6, 13, 11, 21, 18)","(403, 129, 92, 57, 41, 24, 18, 17, 14, 13, 12, 9, 8, 6, 5, 1)"
妈妈在家做的麻花,4623,"导语：#妈妈在家做的麻花#
","[3, 8, 2]",6164,"(3, 8, 2, 18, 4, 16, 21, 13, 9, 5, 0, 14, 1, 7, 19, 23)","(493, 162, 122, 27, 11, 10, 8, 8, 5, 5, 5, 5, 3, 2, 2, 1)"
上海药物所回应,1019,导语：国是直通车联系了中国科学院上海药物所的相关人士。双黄连可以抑制病毒的说法准确吗？对方回应:对对对，但也不能太拔高，因为这个科学的事情我们不想说得太过。,"[1, 6, 19]",6165,"(1, 6, 19, 2, 9, 11, 3, 13, 5, 21, 16, 10, 15, 17, 18, 22, 0, 14, 8, 7, 20, 4, 12, 23)","(2820, 1485, 144, 88, 72, 50, 40, 40, 34, 31, 27, 26, 24, 24, 23, 22, 21, 21, 13, 13, 12, 11, 11, 11)"
美国新冠肺炎确诊病例已达62086例,10761,导语：根据美国约翰斯·霍普金斯大学的实时统计数据，截至当地时间25日16时20分，美国新冠肺炎确诊病例达到62086例，死亡案例达到869例。,"[13, 2, 10]",6166,"(13, 2, 10, 4, 16, 9, 0, 18, 5, 15, 12, 14, 7, 6, 20, 8, 21, 22, 11, 3, 1, 23, 17, 19)","(6412, 1462, 767, 525, 335, 330, 313, 298, 164, 133, 131, 79, 42, 42, 33, 30, 27, 18, 16, 16, 16, 16, 16, 15)"
妻子公开曝光被丈夫家暴16年,4638,导语：近日，四川广元。杨月（化名）公开曝光丈夫对其家暴16年，“再也不隐忍，要揭发”。杨月称，丈夫在离婚诉讼期间转移财产，13岁儿子多次目睹家暴险些被打。丈夫罗某祥拒绝回应，称已在派出所做完笔录。,"[6, 11, 18]",6167,"(6, 11, 18, 1, 12, 4, 10, 19, 13, 5, 15, 8, 9, 17, 16, 0, 2, 3, 21, 23, 7, 14, 20, 22)","(11066, 291, 75, 65, 50, 32, 32, 30, 25, 24, 23, 18, 16, 12, 9, 7, 6, 5, 5, 5, 4, 4, 4, 3)"
推迟2020年面向港澳台研究生招生考试,6643,导语：原定4月18日至19日举行的2020年面向香港、澳门、台湾地区研究生招生考试推迟举行,"[11, 6, 22]",6168,"(11, 6, 22, 17, 16, 2, 5, 13, 18, 9, 3)","(66, 15, 7, 6, 4, 2, 2, 2, 1, 1, 1)"
贫穷让我躲过了一劫,11954,导语：大家有没有因为贫穷让你躲过一劫的例子？带上话题聊一聊！哈哈哈哈哈,"[3, 2, 8]",6169,"(3, 2, 8, 1, 4, 11, 12, 16, 18, 19, 14, 21, 6, 0, 9, 7, 10, 13, 17, 22, 23, 20, 5, 15)","(685, 251, 63, 63, 42, 27, 19, 17, 16, 16, 14, 13, 12, 12, 11, 11, 9, 6, 6, 5, 5, 5, 3, 1)"
德约科维奇澳网八冠王,6065,导语：德约科维奇以6-4/4-6/2-6/6-3/6-4击败蒂姆，8进澳网决赛全部获胜斩获澳网第8冠、第17个大满贯,"[5, 0, 6]",6170,"(5, 0, 6, 17, 11, 4, 18, 1, 8, 9, 3, 23, 19)","(172, 43, 11, 8, 5, 5, 3, 3, 2, 2, 2, 2, 1)"
虞书欣表白孔雪儿,11566,导语：虞书欣向孔雪儿表白为自己组队也是很努力了，这个“表白”可以给满分！,"[0, 1, 8]",6171,"(0, 1, 8, 10, 19, 7, 2, 17, 4, 3, 11, 6, 9, 18, 5, 20, 13, 14, 16, 22, 12, 23, 21, 15)","(6547, 861, 134, 77, 73, 68, 68, 54, 47, 38, 30, 21, 16, 14, 10, 10, 8, 6, 5, 4, 4, 4, 3, 2)"
世卫组织警告全球性流行病威胁已成现实,1157,导语：世界卫生组织总干事谭德塞周一表示，由于新冠病毒已在众多国家发酵，“一场全球性流行病的威胁已成为现实”。他敦促所有国家采取全面的战略控制局势，并称这将是史上首例能被控制的全球性流行病。,"[11, 4, 16]",6172,"(11, 4, 16, 2, 9, 0, 3, 22, 6, 10, 14, 15, 18, 19, 1, 7, 13, 21, 5, 8, 20, 23, 12, 17)","(496, 207, 175, 116, 75, 47, 35, 34, 30, 20, 18, 17, 16, 16, 12, 8, 8, 5, 5, 4, 4, 3, 2, 1)"
山西高校应届毕业生按4月初开学准备,5289,导语：3月8日，山西省委召开的第二十二次专题会议暨省疫情防控工作领导小组会议决定，高校本科、硕士、博士应届毕业生开学，参照高三年级的做法，按照4月初开学进行准备。,"[18, 7, 4]",6173,"(18, 7, 4, 5, 2, 3, 1, 6, 16, 9, 21, 10, 15, 8, 11, 19, 22, 20, 23, 12, 17, 14, 0)","(566, 305, 295, 101, 90, 79, 52, 46, 46, 31, 29, 24, 22, 20, 18, 18, 17, 17, 12, 10, 5, 2, 1)"
英国老人被迫同意放弃疫情急救,11298,导语：4月7日，英媒报道称英国多地养老院及诊所向患者发放“放弃急救同意书”，以此要求患者承诺，若感染新冠病毒，病情恶化时不会叫救护车，收到同意书的患者均为年迈且体弱者。一名收到同意书的老人称，同意书就像给自己判了死刑。,"[6, 1, 12]",6174,"(6, 1, 12, 4, 2, 18, 13, 11, 10, 19, 5, 9, 23, 14, 3, 15, 22, 0, 17, 8, 16, 21, 20)","(4477, 382, 244, 221, 32, 24, 21, 19, 18, 15, 15, 9, 9, 9, 8, 8, 6, 6, 5, 3, 3, 1, 1)"
彭麻麻没来她在家里忙,5962,导语：习近平总书记19日下午，前往腾冲和顺古镇考察调研。,"[0, 20, 7]",6175,"(0, 20, 7, 17, 18, 6, 14, 16, 13, 8, 9)","(1984, 143, 66, 26, 15, 13, 9, 8, 5, 3, 1)"
马云用一首歌支持比利时,13378,导语：刚刚，马云捐赠给比利时的物资，到达了比利时列日机场。在这批物资上，马云写了一首歌名：团结就是力量。我们耳熟能详的这首歌，同样也是比利时国徽上的字。为了感谢中国，比利时列日机场特地打出了中文标语：团结就是力量。,"[5, 2, 10]",6176,"(5, 2, 10, 3, 6, 18, 1, 17, 0, 8, 14, 7)","(776, 165, 18, 16, 14, 8, 8, 8, 5, 3, 3, 1)"
李易峰为什么这样看张若昀,7612,导语：莫名的熟悉感哈哈哈哈！李易峰为什么这样看张若昀？？？,"[8, 3, 2]",6177,"(8, 3, 2, 1, 18, 0, 9, 21, 10, 22, 4, 7, 17, 16, 11, 15, 14, 19, 6, 12, 13, 23, 20)","(3964, 750, 390, 225, 40, 39, 18, 17, 16, 14, 10, 9, 5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)"
罗永浩回应收到限制消费令,10630,导语：4月4日，罗永浩回复“收到法院限制消费令”的消息称，之前有一些工作进度导致的误会，限制消费令其实已经取消了。但天眼查可能因为是周末，还有一些延迟。罗永浩还表示，“让大家担心了，不好意思，我会努力工作，尽快还债的。”,"[6, 2, 0]",6178,"(6, 2, 0, 1, 5, 10, 9, 22, 18, 13, 11, 14, 21, 12, 8, 19, 15, 16, 3, 23, 20, 4, 17, 7)","(3675, 227, 178, 134, 116, 80, 47, 40, 30, 29, 26, 23, 21, 14, 13, 10, 8, 8, 7, 6, 6, 5, 5, 2)"
学校寄大礼包给学生拆开是教材,4766,导语：一高校的学生收到通知，学校将会给2019级4千余名学生邮寄一份“大礼包”。同学们满怀期待的等来了“大礼包”，但拆开一看发现是教材。,"[8, 2, 3]",6179,"(8, 2, 3, 5, 20, 18, 11, 19, 4, 7, 12, 15)","(326, 173, 70, 57, 38, 21, 13, 8, 6, 6, 4, 3)"
世界经济面临的危机比2008年严重得多,1184,导语：清华大学国家金融研究院院长朱民：这次危机的情况比2008年金融危机严重得多。,"[4, 15, 12]",6180,"(4, 15, 12, 16, 3, 1, 8, 7, 5, 0, 14, 6, 9, 19, 10, 13, 2, 11, 22, 23, 17, 21, 18)","(739, 105, 79, 47, 42, 24, 23, 19, 16, 14, 14, 13, 12, 11, 9, 9, 8, 7, 7, 7, 6, 5, 1)"
查理和巧克力工厂将拍剧版,7893,导语：威利旺卡！童年经典将拍动画剧集，《乔乔兔》《雷神3》塔导执导，你期待吗？,"[7, 1, 3]",6181,"(7, 1, 3, 18, 11, 2, 8, 16, 14, 5, 9, 4, 6, 0, 23, 13, 20, 21, 19, 10)","(2451, 120, 73, 32, 28, 27, 23, 18, 18, 16, 15, 15, 15, 12, 12, 8, 8, 7, 7, 3)"
雪莉哥哥ins,13036,导语：1月18日，雪莉哥哥ins发文，针对生父分遗产问题，发表看法，内容让人气愤！,"[6, 4, 12]",6182,"(6, 4, 12, 1, 10, 0, 11, 9, 7, 14, 22, 2, 3, 21, 23, 5, 18, 15, 19, 8, 13, 17, 16, 20)","(4478, 407, 156, 76, 66, 59, 58, 37, 29, 26, 20, 19, 16, 16, 13, 12, 10, 9, 9, 8, 8, 7, 5, 2)"
